Table Size	Collisions	Done
190	5444	0
200	4609	0
210	4057	0
220	2779	0
230	2982	0
240	2015	0
250	2120	0
260	1710	0
270	1346	1
280	1612	0
290	1251	0
300	1064	1
310	1343	0
320	703	1
330	610	1
340	413	1
350	803	0
360	681	1
370	543	1
380	553	1
390	426	1
400	396	1
410	299	1
420	415	1
430	306	1
440	315	1
450	138	1
460	251	1
470	637	1
480	211	1
490	99	1
500	88	1
510	278	1
520	177	1
530	128	1
540	73	1
550	79	1
560	59	1
570	147	1
580	66	1
590	82	1
600	152	1
