Table Size	Collisions	Done
190	5918	0
200	4848	0
210	4063	0
220	3675	0
230	3290	0
240	2157	0
250	2138	0
260	1394	0
270	1380	0
280	1616	0
290	917	0
300	1525	0
310	1051	1
320	606	1
330	631	1
340	639	1
350	727	1
360	386	1
370	505	1
380	252	1
390	362	1
400	273	1
410	600	1
420	350	1
430	323	1
440	400	1
450	317	1
460	152	1
470	144	1
480	150	1
490	159	1
500	95	1
510	51	1
520	364	1
530	160	1
540	195	1
550	150	1
560	58	1
570	91	1
580	65	1
590	39	1
600	214	1
