N	Parallel	Sequential
100000	0.048013	0.162668
200000	0.096626	0.317249
300000	0.134010	0.507306
400000	0.187117	0.793894
500000	0.272234	1.069767
600000	0.313677	1.171394
700000	0.344343	1.591497
800000	0.410213	1.848998
900000	0.490017	2.100413
1000000	0.550049	2.532380
