Table Size	Collisions	Done
190	5971	0
200	4386	0
210	4228	0
220	2580	0
230	2397	0
240	3128	0
250	1799	0
260	1747	0
270	2135	0
280	1387	0
290	1110	0
300	773	0
310	760	0
320	688	1
330	871	1
340	1123	1
350	557	1
360	502	1
370	476	1
380	427	1
390	303	1
400	276	1
410	533	1
420	249	1
430	238	1
440	164	1
450	317	1
460	291	1
470	183	1
480	313	1
490	77	1
500	174	1
510	82	1
520	162	1
530	110	1
540	105	1
550	141	1
560	90	1
570	130	1
580	37	1
590	95	1
600	47	1
